game_id,play_type,duration_of_play,time_after_play,qtr
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,14.0,11:23.0,4
401656363,BLOCK_AND_POSSESSION_CHANGE,4.0,11:19.0,4
401656363,PERSONAL_FOUL,7.0,11:12.0,4
401656363,OUT_OF_BOUNCE_TURNOVER,6.0,11:06.0,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,17.0,10:49.0,4
401656363,PERSONAL_FOUL,10.0,10:39.0,4
401656363,SUBSTITUTION,0.0,10:39.0,4
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,14.0,10:25.0,4
401656363,SHOT_CLOCK_TURNOVER,0.0,10:25.0,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,15.0,10:10.0,4
401656363,OFFENSIVE_FOUL,12.0,09:58.0,4
401656363,OFFENSIVE_FOUL_TURNOVER,0.0,09:58.0,4
401656363,SUBSTITUTION,0.0,09:58.0,4
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,20.0,09:38.0,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,11.0,09:27.0,4
401656363,ASSIST_MADE_SHOT,18.0,09:09.0,4
401656363,TIMEOUT,1.0,09:08.0,4
401656363,SUBSTITUTION,0.0,09:08.0,4
401656363,ASSIST_MADE_SHOT,18.0,08:50.0,4
401656363,ASSIST_MADE_SHOT,25.0,08:25.0,4
401656363,ASSIST_MADE_SHOT,16.0,08:09.0,4
401656363,MADE_SHOT,17.0,07:52.0,4
401656363,SHOOTING_FOUL,0.0,07:52.0,4
401656363,FREE_THROW,0.0,07:52.0,4
401656363,MADE_SHOT,10.0,07:42.0,4
401656363,MADE_SHOT,24.0,07:18.0,4
401656363,STEAL_TURNOVER,13.0,07:05.0,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,17.0,06:48.0,4
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,10.0,06:38.0,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,5.0,06:33.0,4
401656363,SHOOTING_FOUL,2.0,06:31.0,4
401656363,FREE_THROW,0.0,06:31.0,4
401656363,SUBSTITUTION,0.0,06:31.0,4
401656363,FREE_THROW,0.0,06:31.0,4
401656363,MADE_SHOT,12.0,06:19.0,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,31.0,05:48.0,4
401656363,SUBSTITUTION,1.0,05:47.0,4
401656363,SUBSTITUTION,0.0,05:47.0,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,14.0,05:33.0,4
401656363,MADE_SHOT,23.0,05:10.0,4
401656363,STEAL_TURNOVER,12.0,04:58.0,4
401656363,MADE_SHOT,19.0,04:39.0,4
401656363,TIMEOUT,0.0,04:39.0,4
401656363,STEAL_TURNOVER,15.0,04:24.0,4
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,3.0,04:21.0,4
401656363,SHOOTING_FOUL,1.0,04:20.0,4
401656363,FREE_THROW,0.0,04:20.0,4
401656363,FREE_THROW,0.0,04:20.0,4
401656363,ASSIST_MADE_SHOT,18.0,04:02.0,4
401656363,SHOOTING_FOUL,22.0,03:40.0,4
401656363,FREE_THROW,0.0,03:40.0,4
401656363,FREE_THROW,0.0,03:40.0,4
401656363,MADE_SHOT,13.0,03:27.0,4
401656363,STEAL_TURNOVER,12.0,03:15.0,4
401656363,ASSIST_MADE_SHOT,5.0,03:10.0,4
401656363,TIMEOUT,0.0,03:10.0,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,25.0,02:45.0,4
401656363,OUT_OF_BOUNCE_TURNOVER,8.0,02:37.0,4
401656363,SUBSTITUTION,0.0,02:37.0,4
401656363,SUBSTITUTION,0.0,02:37.0,4
401656363,SUBSTITUTION,0.0,02:37.0,4
401656363,SUBSTITUTION,0.0,02:37.0,4
401656363,SUBSTITUTION,0.0,02:37.0,4
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,13.0,02:24.0,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,6.0,02:18.0,4
401656363,SHOOTING_FOUL,16.0,02:02.0,4
401656363,FREE_THROW,0.0,02:02.0,4
401656363,SUBSTITUTION,0.0,02:02.0,4
401656363,FREE_THROW,0.0,02:02.0,4
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,27.0,01:35.0,4
401656363,SHOT_CLOCK_TURNOVER,14.0,01:21.0,4
401656363,SUBSTITUTION,0.0,01:21.0,4
401656363,SUBSTITUTION,0.0,01:21.0,4
401656363,MADE_SHOT,12.0,01:09.0,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,23.0,00:46.0,4
401656363,PERSONAL_TAKE_FOUL,7.799999999999997,00:38.200,4
401656363,SUBSTITUTION,0.0,00:38.200,4
401656363,SUBSTITUTION,0.0,00:38.200,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,6.100000000000001,00:32.100,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,11.100000000000001,00:21.0,4
401656362,JUMPBALL,0.0,12:00.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,26.0,11:34.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,15.0,11:19.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,13.0,11:06.0,1
401656362,MADE_SHOT,7.0,10:59.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,16.0,10:43.0,1
401656362,MADE_SHOT,7.0,10:36.0,1
401656362,ASSIST_MADE_SHOT,21.0,10:15.0,1
401656362,OUT_OF_BOUNCE_TURNOVER,7.0,10:08.0,1
401656362,ASSIST_MADE_SHOT,9.0,09:59.0,1
401656362,STEAL_TURNOVER,21.0,09:38.0,1
401656362,SHOOTING_FOUL,8.0,09:30.0,1
401656362,FREE_THROW,0.0,09:30.0,1
401656362,SUBSTITUTION,0.0,09:30.0,1
401656362,FREE_THROW,0.0,09:30.0,1
401656362,MADE_SHOT,18.0,09:12.0,1
401656362,OFFENSIVE_FOUL,10.0,09:02.0,1
401656362,OFFENSIVE_FOUL_TURNOVER,0.0,09:02.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,19.0,08:43.0,1
401656362,ASSIST_MADE_SHOT,5.0,08:38.0,1
401656362,MADE_SHOT,9.0,08:29.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,24.0,08:05.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,13.0,07:52.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,12.0,07:40.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,12.0,07:28.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,19.0,07:09.0,1
401656362,BLOCK_AND_NO_POSSESSION_CHANGE,7.0,07:02.0,1
401656362,PERSONAL_FOUL,0.0,07:02.0,1
401656362,MADE_SHOT,12.0,06:50.0,1
401656362,PERSONAL_FOUL,6.0,06:44.0,1
401656362,TIMEOUT,0.0,06:44.0,1
401656362,SUBSTITUTION,0.0,06:44.0,1
401656362,ASSIST_MADE_SHOT,8.0,06:36.0,1
401656362,ASSIST_MADE_SHOT,22.0,06:14.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,18.0,05:56.0,1
401656362,ASSIST_MADE_SHOT,6.0,05:50.0,1
401656362,MADE_SHOT,14.0,05:36.0,1
401656362,SHOOTING_FOUL,0.0,05:36.0,1
401656362,SUBSTITUTION,0.0,05:36.0,1
401656362,SUBSTITUTION,0.0,05:36.0,1
401656362,FREE_THROW,0.0,05:36.0,1
401656362,MADE_SHOT,14.0,05:22.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,14.0,05:08.0,1
401656362,MADE_SHOT,8.0,05:00.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,29.0,04:31.0,1
401656362,MISSED_SHOT_OFFENSIVE_REBOUND,6.0,04:25.0,1
401656362,SHOOTING_FOUL,14.0,04:11.0,1
401656362,FREE_THROW,0.0,04:11.0,1
401656362,FREE_THROW,0.0,04:11.0,1
401656362,TIMEOUT,0.0,04:11.0,1
401656362,SUBSTITUTION,0.0,04:11.0,1
401656362,SUBSTITUTION,0.0,04:11.0,1
401656362,FREE_THROW_DEFENSIVE_REBOUND,0.0,04:11.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,16.0,03:53.0,1
401656362,MADE_SHOT,14.0,03:39.0,1
401656362,STEAL_TURNOVER,12.0,03:27.0,1
401656362,MADE_SHOT,8.0,03:19.0,1
401656362,OUT_OF_BOUNCE_TURNOVER,6.0,03:13.0,1
401656362,SUBSTITUTION,0.0,03:13.0,1
401656362,SUBSTITUTION,0.0,03:13.0,1
401656362,MISSED_SHOT_OFFENSIVE_REBOUND,16.0,02:57.0,1
401656362,MISSED_SHOT_OFFENSIVE_REBOUND,1.0,02:56.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,11.0,02:45.0,1
401656362,ASSIST_MADE_SHOT,16.0,02:29.0,1
401656362,SHOOTING_FOUL,11.0,02:18.0,1
401656362,FREE_THROW,0.0,02:18.0,1
401656362,SUBSTITUTION,0.0,02:18.0,1
401656362,FREE_THROW,0.0,02:18.0,1
401656362,ASSIST_MADE_SHOT,21.0,01:57.0,1
401656362,PERSONAL_FOUL,10.0,01:47.0,1
401656362,SUBSTITUTION,0.0,01:47.0,1
401656362,SUBSTITUTION,0.0,01:47.0,1
401656362,OUT_OF_BOUNCE_TURNOVER,4.0,01:43.0,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,13.0,01:30.0,1
401656362,MISSED_SHOT_OFFENSIVE_REBOUND,5.0,01:25.0,1
401656362,MADE_SHOT,0.0,01:25.0,1
401656362,JUMPBALL,24.0,01:01.0,1
401656362,MADE_SHOT,3.8999999999999986,00:57.100,1
401656362,MADE_SHOT,13.899999999999999,00:43.200,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,10.100000000000001,00:33.100,1
401656362,ASSIST_MADE_SHOT,4.0,00:29.100,1
401656362,PERSONAL_FOUL,7.0,00:22.100,1
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,19.0,00:03.100,1
401656362,SUBSTITUTION,0.0,00:03.100,1
401656362,OUT_OF_BOUNCE_TURNOVER,1.9000000000000001,00:01.199,1
401656362,SUBSTITUTION,0.0,00:01.199,1
401656362,SUBSTITUTION,0.0,00:01.199,1
401656362,SUBSTITUTION,0.0,00:01.199,1
401656362,OUT_OF_BOUNCE_TURNOVER,0.19999999999999996,00:01.0,1
401656362,SUBSTITUTION,0.0,00:01.0,1
401656362,SUBSTITUTION,0.0,00:01.0,1
401656362,SUBSTITUTION,0.0,12:00.0,2
401656362,SUBSTITUTION,0.0,12:00.0,2
401656362,SUBSTITUTION,0.0,12:00.0,2
401656362,SUBSTITUTION,0.0,12:00.0,2
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,21.0,11:39.0,2
401656362,STEAL_TURNOVER,7.0,11:32.0,2
401656362,MISSED_SHOT_OFFENSIVE_REBOUND,19.0,11:13.0,2
401656362,MADE_SHOT,11.0,11:02.0,2
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,22.0,10:40.0,2
401656362,OUT_OF_BOUNCE_TURNOVER,11.0,10:29.0,2
401656362,TIMEOUT,2.0,10:27.0,2
401656362,MISSED_SHOT_OFFENSIVE_REBOUND,23.0,10:04.0,2
401656362,PERSONAL_FOUL,0.0,10:04.0,2
401656362,SUBSTITUTION,0.0,10:04.0,2
401656362,MISSED_SHOT_DEFENSIVE_REBOUND,14.0,09:50.0,2
401656362,STEAL_TURNOVER,8.0,09:42.0,2
401656362,SHOOTING_FOUL,7.0,09:35.0,2
401656362,FREE_THROW,0.0,09:35.0,2
401656362,SUBSTITUTION,0.0,09:35.0,2
